1;
Изучаются флуктуации населенности джозефсоновского кубита в переменном поле, которое представляет собой суперпозицию электромагнитных импульсов большой амплитуды.;2 Problem
Показано, что относительная фаза импульсов ответственна за темп переходов Ландау-Зинера и, соответственно, за частоту переходов между адиабатическими состояниями.;42 Results-Reference
Длительности импульсов, поступающих на кубит, контролируются с точностью до периода поля, что приводит к сильным мезоскопическим флуктуациям населенности кубита.;41 Results-Specific
При этом относительная фаза импульсов подобно магнитному полю в мезоскопике может разрушать интерференционную картину населенности кубита.;42 Results-Reference
Изучено влияние длительности импульса и шума на обнаруженные флуктуационные эффекты.;42 Results-Reference
2;
Получено приближенное выражение для евклидовой функции Грина безмассового скалярного поля в пространстве-времени многомерного глобального монополя.;42 Results-Reference
Методом размерной регуляризации получены выражения для вакуумных средних {\langle \phi ^{2} \rangle }_{ren} и { \langle T_{00} \rangle }_{ren}.;31 Method-Specific, 41 Results-Specific
Проводится сравнение с результатами, полученными с использованием альтернативных методов регуляризации.;42 Results-Reference
3;
На тонкой платиновой проволочке, разогреваемой импульсом тока, в волне растяжения, формируемой отражением импульса сжатия от границы раздела жидкость-пар, исследована кинетика спонтанной кавитации в жидком азоте при положительных и отрицательных давлениях.;2 Problem, 32 Method-Procedure
В опытах определены предельные растягивающие напряжения (Δ p=ps-p, где ps - давление насыщения), соответствующие им частоты зародышеобразования J (1020-1022 с\T2A\textendash 1• м\T2A\textendash 3) и скорость нарастания частоты зародышеобразования с температурой G_T=d\ln J/dT.;41 Results-Specific
При температуре T=90 К предельное растяжение Δ p составило 8.3 МПа, что на 4.9 МПа меньше, чем соответствующее границе термодинамической устойчивости жидкой фазы - спинодали.;41 Results-Specific
Результаты измерений сопоставлены с теорией гомогенного зародышеобразования без учета зависимости поверхностного натяжения критических пузырьков от их размера и с учетом этой зависимости.;32 Method-Procedure
В последнем случае для описания свойств зародышей новой фазы использована теория капиллярности Ван дер Ваальса.;31 Method-Specific
Отмечено хорошее согласие результатов эксперимента и теории, когда в последней учитывался «размерный эффект».;42 Results-Reference
4;
Динамика решетки ряда гексаборидов редкоземельных элементов исследована на основе модели суператома, в рамках которой борный октаэдр заменяется на один суператом с массой, равной массе шести атомов бора.;2 Problem, 32 Method-Procedure
Для акустических и низкоэнергетических оптических фононных мод в соединениях RB6 (R = La, Gd, Tb, Dy) построены феноменологические модели.;42 Results-Reference
На примере DyB6 изучен эффект аномального смягчения продольных акустических фононов в нескольких кристаллографических направлениях, характерный также для GdB6 и TbB6.;42 Results-Reference
Показано, что смягчение акустических ветвей достигается за счет введения отрицательных констант силового межатомного взаимодействия между редкоземельными ионами.;42 Results-Reference
Обсуждаются структурная неустойчивость гексаборидов на основе 4f-элементов, роль валентной нестабильности в динамике решетки, влияние числа f-электронов на степень смягчения фононных мод.;42 Results-Reference
5;
Аналитическими методами исследуется электропроводность модели структурно анизотропного композита, представляющей собой изотропную матрицу с включениями дискообразной формы (сплюснутые сфероиды).;2 Problem, 32 Method-Procedure
Диски одинаково ориентированы,  а их центры хаотически распределены в объеме композита. ;Unknown
Рассмотрены случаи  диэлектрических и идеально проводящих включений.;42 Results-Reference
Для описания проводимости модели в широком диапазоне изменения концентрации используется приближенный метод эффективной среды.;31 Method-Specific
Проводимость в критической области (окрестности точки фазового перехода металл-диэлектрик) исследуется в рамках гипотезы подобия.;31 Method-Specific
6;
Проводится исследование времени установления стационарного распределения по поступательным степеням свободы двухуровневых атомов в поле одномерной стоячей световой волны.;2 Problem
Получены зависимости этого времени от параметров задачи: интенсивности световой волны, отстройки и массы атома.;42 Results-Reference
Расчеты проведены на основе квантового кинетического уравнения для атомной матрицы плотности с полным учетом эффектов отдачи и пространственной локализации в световом поле произвольной интенсивности;32 Method-Procedure
7;
В рамках модели синус-Гордон дан анализ строения и свойств пульсирующих солитонов (бризеров) в спиральных структурах магнетиков.;2 Problem
Показано, что пульсации ядра бризера сопровождаются локальными сдвигами и колебаниями спиральной структуры с образованием «предвестников» и «хвостов» у движущегося солитона.;42 Results-Reference
Обсуждаются возможности наблюдения и возбуждения бризеров в спиральных структурах магнетиков и мультиферроиков.;42 Results-Reference
8;
Рассматриваются вращающиеся магнитогидродинамические течения тонкого слоя астрофизической и космической плазмы со свободной границей в вертикальном внешнем магнитном поле.;2 Problem
Используется приближение мелкой воды.;32 Method-Procedure
Наличие вертикального внешнего магнитного поля существенно изменяет динамику волновых процессов в астрофизической плазме в отличие от нейтральной жидкости и слоя плазмы во внешнем тороидальном магнитном поле.;1 Background
В рассматриваемом случае имеют место трехволновые нелинейные взаимодействия.;41 Results-Specific
Асимптотическим методом многомасштабных разложений выведены нелинейные уравнения взаимодействия волновых пакетов: трех волн магнито-Пуанкаре, трех магнитострофических волн, двух волн магнито-Пуанкаре и одной магнитострофической волны, а также двух магнитострофических и одной магнито-Пуанкаре волн.;31 Method-Specific, 42 Results-Reference
Предсказано существование распадных неустойчивостей и явлений параметрического усиления.;42 Results-Reference
Показано, что волна магнито-Пуанкаре распадается на две волны магнито-Пуанкаре, магнитострофическая волна распадается на две магнитострофические волны, волна магнито-Пуанкаре распадается на одну волну магнито-Пуанкаре и одну магнитострофическую, магнитострофическая волна распадается на одну магнитострофическую и одну волну магнито-Пуанкаре.;41 Results-Specific
Имеются следующие механизмы параметрического усиления: параметрическое усиление волн магнито-Пуанкаре, параметрическое усиление магнитострофических волн, а также усиление волны магнито-Пуанкаре в поле магнитострофической и усиление магнитострофической волны в поле волны магнито-Пуанкаре.;42 Results-Reference
Найдены инкременты неустойчивостей и коэффициенты параметрического усиления для соответствующих процессов;42 Results-Reference
9;
Приведены результаты экспериментов по исследованию откольного разрушения и выброса частиц с поверхности медных и свинцовых образцов.;42 Results-Reference
С помощью лазерного интерферометрического метода регистрировались скорость облака частиц и параметры множественного откола.;31 Method-Specific
Использование угловых датчиков позволило зарегистрировать дисперсию скорости облака частиц по всей глубине и структуру откольного разрушения металлов.;32 Method-Procedure, 42 Results-Reference
10;
Приведен краткий обзор теоретических работ по поверхностным состояниям в дираковских материалах.;42 Results-Reference
В рамках формализма огибающих волновых функций и граничных условий для них сформулирована минимальная модель, аналитически описывающая поверхностные и краевые состояния разного типа, топологического и нетопологического, в нескольких системах с дираковскими фермионами.;42 Results-Reference
Обсуждены условия ее применимости.;42 Results-Reference
11;
В монокристаллах свинца обнаружен переход в поверхностное сверхпроводящее состояние при температуре примерно на 0.25 мК выше критической температуры объемного перехода.;42 Results-Reference
Исследована фазовая (H,T)-диаграмма этого состояния.;42 Results-Reference
12;
Изучено поведение межслоевого сопротивления и магнитосопротивления в квазидвумерном двухслойном органическом металле θ -(BETS)4HgBr4(C6H5Cl) при нормальном давлении и при гидростатическом давлении 10 кбар.;42 Results-Reference
Установлено, что при атмосферном давлении межслоевой транспорт осуществляется в некогерентном режиме.;42 Results-Reference
Приложение давления не меняет электронной структуры проводящих слоев, но вызывает переход к слабонекогерентному режиму при низких температурах.;42 Results-Reference
13;
Рассмотрена нелинейная лазерная спектроскопия в схеме двух коллинеарных волн с произвольными эллиптическими поляризациями.;42 Results-Reference
Акцент сделан на исследование нелинейных поправок в спектре поглощения одной из волн.;32 Method-Procedure
Показано, что спонтанный перенос низкочастотной зеемановской когерентности влияет на знак сверхузкого резонанса.;42 Results-Reference
Для замкнутого перехода получено, что направление резонансного контура зависит только от моментов Fe, Fg.;42 Results-Reference
На основе этого получена классификация для различных переходов по направлению сверхузкого резонансного контура.;42 Results-Reference
14;
Рассмотрено резонансное рождение электрон-позитронной пары двумя поляризованными фотонами на произвольные низкие уровни Ландау.;42 Results-Reference
Резонанс имеет место, когда энергия одного из фотонов превышает порог однофононного рождения, а энергия второго кратна расстоянию между уровнями.;42 Results-Reference
Найдено сечение процесса с учетом спинов частиц.;42 Results-Reference
Сечение будет наибольшим по порядку величины, если магнитные моменты частиц ориентированы вдоль магнитного поля.;51 Conclusions-Explanation
15;
В рамках квазиклассического подхода проведено полное исследование солитонных состояний, локализованных у плоского дефекта (дефектного слоя), обладающего нелинейными свойствами, при разных знаках нелинейности среды и разном характере взаимодействия элементарных возбуждений среды с дефектом.;42 Results-Reference
Дана квантовая интерпретация этих нелинейных локализованных мод как связанного состояния большого числа элементарных возбуждений.;42 Results-Reference
Определены области существования и исследованы свойства таких состояний в зависимости от характера взаимодействия элементарных возбуждений между собой и с дефектом.;42 Results-Reference
Аналитически проведено полное исследование устойчивости всех найденных локализованных состояний относительно малых возмущений амплитуды и фазы, и найдена частота малых колебаний локализованного на дефекте состояния.;42 Results-Reference
16;
Цель работы - определить величину магнитоемкости при замещении висмута лантаном в тонких пленках Lax Bi1-x FeO3 и выяснить влияние внешнего электрического поля смещения на магнитоемкостный эффект.;2 Problem
Для этого на пленках Lax Bi1-x FeO3 проведены измерения диэлектрической и магнитной проницаемостей, тангенса угла потерь в области температур 100 К3.;32 Method-Procedure
Обнаружено гигантское усиление магнитоемкости во внешнем электрическом поле смещения. ;42 Results-Reference
Эти эффекты объясняются перестройкой доменной структуры.;51 Conclusions-Explanation
17;
Анализируется насыщение низкопороговой параметрической распадной неустойчивости электронной циклотронной волны необыкновенной поляризации, в результате развития которой в окрестности локального максимума профиля плотности плазмы возбуждаются два верхнегибридных плазмона на частотах, близких к половине частоты волны накачки.;2 Problem
В качестве механизма насыщения этой неустойчивости используется каскадный распад дочерних верхнегибридных волн, приводящий к возбуждению вторичных верхнегибридных и нижнегибридных волн, также радиально локализованных в окрестностях соответственно локальных максимума и минимума профиля плотности плазмы.;32 Method-Procedure
18;
Продемонстрировано вторичное лазерное охлаждение облака атомов стронция- 88 на интеркомбинационном переходе 1S0-3P1 (689 нм), захваченных в магнито-оптическую ловушку.;32 Method-Procedure, 42 Results-Reference
Детально охарактеризован процесс перезахвата атомов из первичной ловушки, работающей на сильном переходе 1S0-1P1 (461 нм), определены коэффициент перезахвата κ, число атомов и их температура во вторичной ловушке в зависимости от параметров эксперимента.;42 Results-Reference
Во вторичной ловушке достигнута температура 2 мкК при коэффициенте перезахвата κ=6 %, что подтверждает эффективность процесса вторичного охлаждения и достаточно для выполнения метрологических измерений часового перехода 1S0-3P1 (698 нм) в оптической решетке.;42 Results-Reference
19;
Рассматривается магнитогидродинамическая теория сферически-симметричной аккреции идеальной жидкости на черную дыру Шварцшильда с ультражестким  уравнением состояния p=\mu\sim\rho^2, где p - давление, μ - суммарная плотность энергии, ρ - плотность жидкости.;2 Problem
Выписывается приближенное аналитическое решение.;42 Results-Reference
Показано, что для вырожденного ультражесткого уравнения состояния вещества вместо двух критических поверхностей (быстрой и медленной магнитозвуковых поверхностей) образуется одна критическая звуковая поверхность, которая совпадает с горизонтом событий черной дыры.;42 Results-Reference
20;
Представлены результаты теоретического исследования структурных и энергетических характеристик междоузельного молекулярного водорода в монокристаллическом кремнии.;42 Results-Reference
Исследована зависимость потенциальной энергии системы от положения и ориентации дефекта внедрения, рассмотрен механизм взаимодействия молекулы с кристаллом.;42 Results-Reference
В рамках трехмерной модели рассчитан энергетический спектр H2 в Si, проведен анализ полученного закона дисперсии.;42 Results-Reference
21;
На основе полученной экспериментально структуры магнитной фазы оксида PrMn2 O5 в температурном интервале от 18 К до 25 К найдено, что переход в эту фазу должен аналитически описываться с помощью двухкомпонентного параметра порядка, а эффективный гамильтониан системы должен содержать два независимых инварианта четвертой степени по компонентам этого параметра.;52 Conclusions-Specific
С использованием известных из литературы результатов ренормгруппового анализа фазовых переходов с этим эффективным гамильтонианом установлено, что реализуется переход второго рода.;52 Conclusions-Specific
Показано, что в появляющейся в результате этого перехода соизмеримой антиферромагнитной фазе отсутствует электрическая поляризация, поскольку ее появление запрещено симметрией системы.;52 Conclusions-Specific
22;
Проведены прецизионные измерения электросопротивления, термоэдс и объема TmS, TmSe и TmTe при гидростатическом давлении до 8 ГПа.;42 Results-Reference
Сравнение поведения транспортных свойств и объема TmTe и SmTe в области валентного перехода демонстрирует полную аналогию, вплоть до количественного совпадения.;42 Results-Reference
Показано, что термоэдс всех халькогенидов тулия и самария и в области коллапса решетки, и при последующей перестройке электронного спектра в широком диапазоне давлений подчиняются единой универсальной зависимости, соответствующей прохождению уровня Ферми через пик плотности состояний.;42 Results-Reference
Результаты обсуждаются в рамках представлений об экситонной природе промежуточной валентности в халькогенидах редкоземельных металлов.;51 Conclusions-Explanation
23;
Приведен вывод интеграла столкновений в кинетическом уравнении для разреженного спин-поляризованного газа фермионов (электронов).;42 Results-Reference
Учитываются столкновения между этими фермионами и столкновения с гораздо более тяжелыми частицами (ионами), образующими случайно расположенный неподвижный фон (газ).;42 Results-Reference
Важным новым обстоятельством является то, что амплитуда рассеяния частиц друг на друге не предполагается малой, которую можно было бы получить, например, в первом борновском приближении.;53 Conclusions-Reference
Полученный нами интеграл столкновений можно использовать в кинетическом уравнении, в том числе и для относительно холодной разреженной спин-поляризованной плазмы с характерной энергией электронов, меньшей α2 me c2, где α - постоянная тонкой структуры.;52 Conclusions-Specific
24;
Развита динамическая теория когерентного рентгеновского излучения, генерируемого в монокристаллической пластине расходящимся пучком релятивистских электронов.;42 Results-Reference
Исследована зависимость спектрально-угловой плотности когерентного рентгеновского излучения от угла расходимости электронного пучка для случая, когда угловой разброс описывается двумерным распределением Гаусса.;42 Results-Reference
Построенная теория позволяет проводить расчеты когерентного излучения и для произвольного углового распределения электронов в пучке.;51 Conclusions-Explanation
25;
Рассмотрены характерные и отличительные особенности амплитуды функции видности интерферометрических наблюдений у компактных объектов типа звезд в ближайшей окрестности центральной черной дыры в нашей галактике.;42 Results-Reference
Эти особенности связаны со спецификой сильного гравитационного рассеяния точечных источников черными дырами, кротовыми норами или черно-белыми дырами.;51 Conclusions-Explanation
Найденные особенности помогут определить важнейшие топологические характеристики центрального объекта в нашей галактике: обладает ли этот объект свойствами только черной дыры или также имеет характеристики, присущие только кротовым норам или черно-белым дырам.;52 Conclusions-Specific
Данные исследования могут быть использованы для интерпретации результатов интерферометрических наблюдений в оптическом, инфракрасном и радио диапазонах.;52 Conclusions-Specific
26;
При помощи сканирующей туннельной микроскопии проведены исследования динамики вращения молекул C60 в монослойных пленках фуллерена выращенных на поверхности WO2/ W(110).;31 Method-Specific, 32 Method-Procedure, 42 Results-Reference
Вблизи температуры вращательного фазового перехода обнаружено образование кластеров молекул, обладающих большой амплитудой либронных колебаний.;42 Results-Reference
Определены энергетические параметры, определяющие изменение ориентации молекулы: разность энергий между ближайшими минимумами энергии молекул C60 в зависимости от ее ориентации (30 мВ) и высота потенциального барьера между ними (610 мВ).;41 Results-Specific
Результаты обсуждаются в рамках приближения теории среднего поля.;53 Conclusions-Reference
27;
Предлагается модель дисперсионного переноса в неупорядоченных наноструктурированных полупроводниках, учитывающая перколяционную структуру образца и параллельное действие нескольких механизмов.;2 Problem
Совместный учет топологического и энергетического беспорядков проведен на основе модели многократного захвата на гребешковой структуре, моделирующей перколяционный характер траекторий.;42 Results-Reference
Действие параллельных механизмов описано в рамках случайных блужданий со смесью распределений времен ожидания.;42 Results-Reference
Получены интегральные уравнения переноса с производными дробного порядка для произвольной плотности локализованных состояний.;42 Results-Reference
В рамках новой модели рассчитывается кинетика переходного тока с целью анализа время-пролетных экспериментов для наноструктурированных полупроводников.;42 Results-Reference
28;
Для нематических жидких кристаллов (НЖК)  с примесью конформационно активных соединений, находящихся под воздействием светового, низкочастотного электрического и магнитного полей, предложена теория ориентационных переходов, использующая разложение вращающих моментов, действующих на директор НЖК, по углу поворота директора.;42 Results-Reference
Построены фазовые диаграммы состояния НЖК в зависимости от интенсивности и поляризации светового поля, напряженности низкочастотного электрического поля и параметра, характеризующего обратную связь между поворотом директора НЖК и оптическим вращающим моментом.;42 Results-Reference
Определены условия возникновения переходов второго и первого рода.;42 Results-Reference
Предложенная теория согласуется с экспериментом.;52 Conclusions-Specific
29;
Рассмотрена кинетика атомов в трехмерной магнитооптической ловушке (МОЛ).;2 Problem
Для атома с оптическим переходом Jg=0 → Je=1 (Jg,e - полные угловые моменты в основном и возбужденном состояниях) в квазиклассическом приближении построена трехмерная модель МОЛ с учетом влияния относительных фаз световых полей на кинетику атомов.;42 Results-Reference
Показано, что влиянием относительных фаз можно пренебречь только в пределе малых интенсивностей световых полей.;42 Results-Reference
В общем случае выбор относительных фаз может оказывать сильное влияние на кинетику атомов в МОЛ.;53 Conclusions-Reference
30;
Проверяется тождество, которое связывает двухточечные функции Грина \cN=1 СКЭД с Nf ароматами, регуляризованной высшими производными, с помощью явных вычислений в трехпетлевом приближении.;2 Problem
Это тождество объясняет, почему в пределе нулевого внешнего импульса двухточечная функция Грина калибровочного суперполя задается интегралами от двойных полных производных в импульсном пространстве.;51 Conclusions-Explanation
Также оно позволяет вывести β-функцию NSVZ точно во всех петлях, если ренормгрупповые функции определяются в терминах голой константы связи.;51 Conclusions-Explanation
Для проверки рассматриваемого тождества оно используется для построения интегралов, определяющих трехпетлевую β-функцию, на основе двухточечных функций Грина для суперполей материи в двухпетлевом приближении.;2 Problem
Показано, что результаты для этих интегралов совпадают с суммами соответствующих трехпетлевых суперграфов.;42 Results-Reference
31;
Проведена экспериментальная проверка теоретического утверждения, что параметр асимметрии Фано и асимптотическая начальная фаза гармонического осциллятора, взаимодействующего с континуумом, взаимосвязаны.;42 Results-Reference
На примере когерентных полносимметричных A1g-фононов висмута, возбуждаемых сверхкороткими лазерными импульсами при гелиевой температуре, показано, что для отрицательных значений параметра асимметрии с уменьшением модуля параметра асимптотическая фаза возрастает.;32 Method-Procedure, 42 Results-Reference
32;
Представлены результаты экспериментального исследования свойств обладающих магнитоэлектрическим эффектом эпитаксиальных пленок ферритов-гранатов состава ( LuBi)3( FeGa)5 O12, выращенных на подложках с (210)-ориентацией.;32 Method-Procedure, 42 Results-Reference
Получены данные об особенностях наведенной анизотропии и поведении доменной структуры пленок в однородных и неоднородных внешних полях.;42 Results-Reference
Выполнен критический анализ существующих гипотез о природе магнитоэлектрической связи в изучаемых объектах.;42 Results-Reference
33;
Рассмотрено влияние конечной ширины спектральной линии лазерного излучения и спонтанной релаксации уровней на эффективность подавления полевого сдвига центрального резонанса для обобщенной схемы Рамси с импульсами разной длительности и скачком фазы во втором импульсе.;42 Results-Reference
